 	MAG  	UTCDATE-TIME	LATdeg 	LONdeg 	DEPTHkm 	 Region
MAP	 2.6  	2013/10/18 14:29:31 	  35.312 	  -92.303 	5.5 	 ARKANSAS
MAP	 4.5  	2013/10/18 12:11:31 	  -6.602 	  147.386 	75.9 	 EASTERN NEW GUINEA REG, PAPUA NEW GUINEA
MAP	 2.6  	2013/10/18 11:49:33 	  60.264 	 -152.217 	75.9 	 SOUTHERN ALASKA
MAP	 2.6  	2013/10/18 11:42:19 	  33.541 	 -116.325 	13.2 	 SOUTHERN CALIFORNIA
MAP	 4.8  	2013/10/18 09:09:45 	 -21.904 	 -175.352 	46.9 	 TONGA
MAP	 5.1  	2013/10/18 08:02:18 	  -6.581 	  153.642 	41.2 	 NEW BRITAIN REGION, PAPUA NEW GUINEA
MAP	 2.8  	2013/10/18 07:57:50 	  38.834 	 -122.776 	2.8 	 NORTHERN CALIFORNIA
MAP	 3.2  	2013/10/18 07:45:02 	  18.867 	  -65.839 	131.1 	 PUERTO RICO REGION
MAP	 3.1  	2013/10/18 03:44:44 	  39.341 	 -120.089 	0.0 	 NORTHERN CALIFORNIA
MAP	 2.7  	2013/10/18 01:58:22 	  47.623 	  -69.842 	5.2 	 ST. LAWRENCE VALLEY REG., QUEBEC, CANADA
MAP	 4.9  	2013/10/18 01:46:15 	 -18.766 	 -177.400 	620.1 	 FIJI REGION
MAP	 2.7  	2013/10/17 21:55:37 	  64.614 	 -150.149 	0.0 	 CENTRAL ALASKA
MAP	 5.0  	2013/10/17 21:49:39 	  27.969 	  104.122 	13.5 	 SICHUAN-YUNNAN-GUIZHOU REGION, CHINA
MAP	 4.6  	2013/10/17 21:21:04 	  6.163 	  94.500 	90.6 	 NICOBAR ISLANDS, INDIA REGION
MAP	 4.9  	2013/10/17 20:11:20 	  28.535 	  85.668 	52.6 	 XIZANG-NEPAL BORDER REGION
MAP	 4.8  	2013/10/17 17:55:06 	  39.320 	  20.627 	16.2 	 GREECE
MAP	 4.9  	2013/10/17 16:25:01 	  -0.524 	  149.134 	88.2 	 NEW IRELAND REGION, PAPUA NEW GUINEA
MAP	 2.8  	2013/10/17 14:56:49 	  19.040 	  -67.624 	7.0 	 PUERTO RICO REGION
MAP	 3.0  	2013/10/17 14:50:50 	  18.840 	  -67.715 	30.0 	 PUERTO RICO REGION
MAP	 3.0  	2013/10/17 11:56:58 	  59.684 	 -152.333 	54.6 	 SOUTHERN ALASKA
MAP	 3.1  	2013/10/17 11:51:47 	  51.249 	 -175.194 	6.9 	 ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA
MAP	 4.6  	2013/10/17 11:49:55 	 -45.111 	  -76.153 	27.8 	 OFF THE COAST OF AISEN, CHILE
MAP	 2.7  	2013/10/17 11:08:18 	  19.243 	  -67.462 	90.0 	 PUERTO RICO REGION
MAP	 2.5  	2013/10/17 10:30:39 	  60.623 	 -147.252 	18.4 	 SOUTHERN ALASKA
MAP	 4.8  	2013/10/17 10:15:12 	  12.902 	  92.406 	39.1 	 ANDAMAN ISLANDS, INDIA REGION
MAP	 2.5  	2013/10/17 10:11:47 	  20.179 	 -155.718 	30.8 	 HAWAII REGION, HAWAII
MAP	 4.9  	2013/10/17 09:15:43 	 -10.118 	  -77.695 	45.9 	 NEAR THE COAST OF CENTRAL PERU
